	Column Labels																																					
	1		2		3		4		5		6		7		8		9		11		12		13		14		15		16		17		18		(blank)		Total Count of Sales units	Total Count of Turnover
Row Labels	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover	Count of Sales units	Count of Turnover		
Belgium	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27			459	459
Czech Republic	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36			612	612
Denmark	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36			612	612
France	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54			918	918
Germany	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54			918	918
Italy	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45			765	765
Poland	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36			612	612
Spain	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45			765	765
Sweden	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27			459	459
The Netherlands	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36			612	612
United Kingdom	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54			918	918
(blank)																																			5	2	5	2
Grand Total	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	5	2	7655	7652
