ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price,
1,lounge,51,882,25000,1,44.90724182,8.611559868,8900,
2,pop,51,1186,32500,1,45.66635895,12.24188995,8800,
3,sport,74,4658,142228,1,45.50329971,11.41784,4200,
4,lounge,51,2739,160000,1,40.63317108,17.63460922,6000,
5,pop,73,3074,106880,1,41.90322113,12.49565029,5700,
6,pop,74,3623,70225,1,45.0007019,7.68227005,7900,
7,lounge,51,731,11600,1,44.90724182,8.611559868,10750,
8,lounge,51,1521,49076,1,41.90322113,12.49565029,9190,
9,sport,73,4049,76000,1,45.54800034,11.54946995,5600,
10,sport,51,3653,89000,1,45.43830109,10.99170017,6000,
11,pop,51,790,43286,1,40.87142944,14.43896008,8950,
12,lounge,51,366,17500,1,45.06967926,7.704919815,10990,
13,lounge,51,456,18450,1,45.42657089,11.78812981,9700,
14,pop,51,3835,120000,1,40.53158951,17.43615913,4800,
15,lounge,51,1035,40500,1,40.91136169,14.21119976,9300,
16,lounge,51,1096,28200,1,45.6972084,9.845970154,9500,
17,lounge,73,4200,110000,1,41.08235168,14.25424957,5250,
18,pop,51,2223,96848,1,43.78237152,11.25498962,7990,
19,lounge,51,2861,31000,1,45.06967926,7.704919815,7300,
20,lounge,51,425,20030,1,45.35438919,11.86925983,10500,
21,lounge,51,397,19037,1,45.70724869,11.4776001,10500,
22,lounge,51,1886,110000,1,40.83581161,14.50440979,6990,
23,lounge,51,1035,8000,1,44.50608826,12.04417038,10600,
24,lounge,51,790,27595,1,45.68825912,8.731450081,10200,
25,lounge,51,1583,14900,1,45.06967926,7.704919815,9990,
26,lounge,51,366,9218,1,45.43811035,12.31814957,10800,
27,pop,51,3592,124000,1,40.96617889,17.11647987,6800,
28,sport,51,3531,100000,1,40.97645187,14.17228031,4950,
29,lounge,51,762,28900,1,45.13167191,8.449170113,10640,
30,lounge,51,670,4000,1,41.34975052,13.35332012,9500,
31,lounge,62,2769,59216,1,43.78237152,11.25498962,6990,
32,lounge,51,4169,99477,2,40.55056381,14.22562504,5900,
33,lounge,51,821,21730,2,41.90322113,12.49565029,10500,
34,sport,51,3927,140000,2,40.75593185,14.69019032,5200,
35,lounge,51,640,32033,2,44.28387833,11.88813972,9790,
36,pop,51,3653,138116,2,40.63317108,17.63460922,5000,
37,pop,51,852,17000,1,45.50516129,8.939100266,8990,
38,pop,51,3013,58527,1,45.68825912,8.731450081,7200,
39,sport,51,790,43100,1,45.33407974,11.37687016,9950,
40,pop,51,1858,13373,1,41.90322113,12.49565029,9000,
41,sport,51,4139,119000,1,45.34931946,7.742599964,4890,
42,pop,51,609,28500,1,45.74602127,9.049969673,10900,
43,pop,51,1096,83000,1,41.95972061,12.79805565,7900,
44,lounge,73,4049,98000,1,38.2181282,15.2402401,5999,
45,lounge,51,456,12693,1,45.39360046,10.48223972,10900,
46,lounge,51,762,14586,1,42.34196854,12.35848999,10500,
47,lounge,51,821,27640,1,41.90322113,12.49565029,10400,
48,lounge,51,2039,49000,1,41.90322113,12.49565029,7500,
49,sport,51,3684,160000,1,45.4054718,10.27828979,4900,
50,sport,51,4596,107000,1,40.84590149,14.36927032,4300,
51,lounge,51,2192,66000,1,40.8401413,14.25226021,6999,
52,sport,51,790,35000,1,45.33407974,11.37687016,10200,
53,pop,51,1186,24651,1,41.90322113,12.49565029,9300,
54,sport,62,3288,71900,1,41.06240082,14.27388,5990,
55,lounge,51,701,11200,1,46.17649841,9.903670311,10600,
56,lounge,51,3288,124050,1,43.86997986,10.3398304,5500,
57,pop,51,1066,69395,1,45.23141098,9.592889786,7450,
58,lounge,51,456,17961,1,45.39360046,10.48223972,10900,
59,lounge,51,670,18669,1,45.0007019,7.68227005,10990,
60,pop,51,1431,22700,1,41.90322113,12.49565029,8900,
61,lounge,51,4169,56000,1,45.46796036,9.181779861,5900,
62,lounge,51,701,22669,1,45.06967926,7.704919815,9500,
63,pop,73,2557,50000,1,42.15787888,11.90227985,8250,
64,lounge,51,2343,39743,1,45.69522858,9.669509888,8800,
65,lounge,51,456,27466,1,45.39360046,10.48223972,9800,
66,lounge,51,548,22609,1,45.6958313,9.180390358,9900,
67,pop,51,1461,94485,1,44.50883865,11.46907997,7450,
68,sport,51,4261,188000,1,41.06240082,14.27388,4490,
69,lounge,51,2343,94000,1,45.43811035,12.31814957,7400,
70,pop,51,2192,60786,1,43.9381218,10.91257954,7900,
71,pop,51,1096,41950,1,41.66950989,12.50222969,10700,
72,lounge,51,456,16971,1,45.39360046,10.48223972,10900,
73,lounge,51,4108,45300,1,41.29956055,13.03258991,7400,
74,lounge,51,4108,45300,1,41.29956055,13.03258991,7400,
75,lounge,51,3227,75359,1,45.06967926,7.704919815,7800,
76,lounge,51,366,12585,1,45.06967926,7.704919815,9900,
77,pop,62,2101,103000,1,45.79785919,8.644439697,7900,
78,sport,51,2739,77149,3,44.75489044,8.031900406,7800,
79,lounge,51,456,13587,3,45.39360046,10.48223972,10900,
80,lounge,51,1797,55595,3,45.76697922,11.73840046,7800,
81,lounge,51,397,17250,3,45.06967926,7.704919815,10050,
82,sport,51,4292,145000,3,41.06240082,14.27388,4799,
83,lounge,51,790,20849,1,41.90322113,12.49565029,8100,
84,lounge,51,3988,107375,1,41.37656021,14.07629967,5800,
85,pop,63,2009,100000,1,45.31818008,9.105690002,7500,
86,lounge,51,456,17841,1,45.39360046,10.48223972,10900,
87,lounge,51,762,44778,1,45.5712204,9.159139633,9390,
88,pop,51,3258,78681,1,45.67927933,9.237190247,7490,
89,pop,51,4474,123000,1,40.63317108,17.63460922,4900,
90,lounge,51,397,17912,1,41.83264923,12.75259972,9970,
91,lounge,51,1066,69916,1,41.80298996,12.59893036,8980,
92,lounge,51,2647,97700,1,44.50883865,11.46907997,7450,
93,pop,51,366,11500,1,45.70724869,11.4776001,9500,
94,lounge,51,397,17250,1,45.46796036,9.181779861,10050,
95,lounge,51,366,12372,1,38.91444016,16.58436012,10465,
96,sport,51,4292,165600,1,44.71540833,11.30830002,5950,
97,pop,51,1066,28000,1,41.7690506,12.66281033,8500,
98,sport,51,2009,86000,2,40.63317108,17.63460922,7800,
99,lounge,51,456,18592,2,45.39360046,10.48223972,10900,
100,pop,51,731,41558,2,45.5712204,9.159139633,8790,
101,pop,51,4018,96000,2,44.29430008,9.674440384,5700,
102,lounge,51,701,19000,1,41.26411057,13.74499035,10000,
103,lounge,51,397,18183,1,41.83264923,12.75259972,9970,
104,lounge,51,1066,69916,1,41.80298996,12.59893036,8980,
105,pop,51,2647,75500,1,44.50883865,11.46907997,7500,
106,pop,51,1827,39500,1,45.67340088,9.926890373,9800,
107,lounge,51,397,17250,1,41.90322113,12.49565029,10050,
108,pop,51,3835,128000,1,45.76464844,8.99450016,4900,
109,pop,51,366,12929,1,45.55654907,9.534469604,9400,
110,lounge,51,3562,113254,2,44.30582047,8.483639717,6100,
111,lounge,51,366,18000,1,41.26411057,13.74499035,10700,
112,lounge,51,397,16643,1,41.83264923,12.75259972,9970,
113,lounge,51,2892,92300,1,43.88206863,11.10035038,7500,
114,lounge,51,640,34873,1,40.85889816,14.35719013,9500,
